day,mae,mape,nrmse,nmax
2010-02-12,0.7836083434124786,0.6585379026352886,0.4019332609786606,0.9580848504285454
2010-02-13,0.7091902738627459,0.42154505936523307,0.20001197793270276,0.782157052222601
2010-02-14,0.8916024353645883,1.2382873829709486,0.4958873368290244,1.7170340552410361
2010-02-15,0.9139080155624283,0.9697113098270966,0.26831141884388826,0.6439846521532167
2010-02-16,0.6305305541482237,0.5788163397102121,0.36778628604923314,1.111119221805908
2010-02-17,0.5612805415239599,0.3831193334220282,0.20063756718361953,0.7447189212291915
2010-02-18,0.6929611133856906,0.7069485161576187,0.33551934336557554,1.1491569326232092
2010-02-19,0.6752222083638112,0.8472210026720742,0.30689007260606416,0.8877794424545716
2010-02-20,0.6497833453446628,0.6668989194618135,0.28808317401150846,0.942256454549632
2010-02-21,1.1700791569593882,0.8228332043734078,0.28714797666191816,0.811798850736708
2010-02-22,1.4978097068260112,2.700284113857933,0.5420555533188529,1.3340561698317226
2010-02-23,0.6392555556489361,0.7003272549830943,0.26626274023918556,0.942814137961352
2010-02-24,0.7660236067722241,0.5982939654571631,0.2530109717422029,0.6819464516896115
2010-02-25,0.4379291639837953,0.379988671476789,0.3572697708847922,1.503056870628343
2010-02-26,0.5940722227142916,0.4801161483699688,0.21187297460401716,0.5368399796727198
2010-02-27,0.7641027851250436,0.9878175968553956,0.365603376525338,1.1697191855398852
2010-02-28,0.9280708278000355,2.509357767835651,0.9469849742894001,2.2464887590855307
2010-03-01,0.6362458128657605,0.6938016773155606,0.2955834900608887,0.9784856785134366
2010-03-02,0.5951847194684877,1.520986163415375,0.5633353771295557,1.9112940453829592
2010-03-03,0.3697666661173105,0.5654761321282545,0.41433216948555057,0.8724631635613865
2010-03-04,0.4172653015176455,0.9526812534044619,0.5120198801956797,1.0630185414569167
2010-03-05,0.4941791763328843,0.5668098491995203,0.3119654325905534,0.9747978278179524
2010-03-06,0.5648930650598474,1.315978465738054,0.5386382425839606,1.567115221621645
2010-03-07,0.5863638985024558,0.5491596363197001,0.27268363943463414,0.8474401162360551
2010-03-08,1.192598596524861,0.6235565161041013,0.3373414397151536,0.9397506239921217
2010-03-09,0.7337652820530866,0.9231948132933662,0.4503271139103197,1.5688274162859959
2010-03-10,0.5114833377205663,0.37953380219169053,0.29779190503823205,0.6882318398830656
2010-03-11,0.7547569489326742,0.9360985959492841,0.2774491586435381,0.7233090010431953
2010-03-12,0.5928569407923354,0.6960346548894796,0.3127001098885507,1.0352074515513277
2010-03-13,0.7438708153525989,0.4653388651230135,0.2518094273531181,0.9065214634814491
2010-03-14,0.9327360908687116,1.1458657228354185,0.35301821655077364,0.9901258951981513
2010-03-15,0.6144500175446271,0.6632376311456942,0.2639261615532389,0.5500156148475345
2010-03-16,0.5229555654625098,0.5806553509314522,0.3278204325013885,0.8317805482254463
2010-03-17,0.5274333135644594,0.3992297928351997,0.22880295947619214,0.7255983641332873
2010-03-18,0.6671555484003492,0.9626112125129307,0.2990865262950426,0.9813795892858325
2010-03-19,0.5433513925035796,0.5649278183553386,0.26544543618366084,0.5899807857046672
2010-03-20,0.37178993508452524,0.4628012707592502,0.14993834846987059,0.3700980102758097
2010-03-21,0.5258075355498879,0.5039092637674026,0.20787266540337196,0.6634858127791944
2010-03-22,0.46642547546194657,0.46434769375385915,0.3210270309369749,0.8591195204659909
2010-03-23,0.41203058497442147,0.4060525753369923,0.18896707877159047,0.5218693513026812
2010-03-24,0.5191513830641906,0.4334928474887665,0.2313886482195723,0.6740447940859386
2010-03-25,0.5442416740384367,0.7634416192713753,0.3849145746943672,1.2955097671322608
2010-03-26,0.5256305597176154,0.6583101002190823,0.2366084596810606,0.4489469084727014
2010-03-27,0.764623621774382,0.6980264729586523,0.24424833180238,0.9921620826650301
2010-03-28,0.9516000155246921,0.9473972789794063,0.3433121786618407,1.0261565285451495
2010-03-29,0.8312722515685692,0.8521953632312481,0.508531504596666,1.4314824628437115
2010-03-30,0.40559166159265575,0.30656739384540016,0.22551227651671654,0.7067338262463204
2010-03-31,0.5297361246761348,0.5291421610310504,0.19609500518237127,0.4165893794823894
2010-04-01,0.5595236127515634,0.6441004359743874,0.24907839979127447,0.7166244154007745
2010-04-02,0.5722069444732534,0.6236619888860893,0.2967170247746769,0.7039468349317379
2010-04-03,0.3991805532670684,0.3765814017396046,0.21620855395952357,0.5310184305057472
2010-04-04,0.5860930455214447,0.6956070863386218,0.2611958451393764,0.692890265192778
2010-04-05,0.7928999892688461,1.4013272289381253,0.2761410823888888,0.7790583659935233
2010-04-06,0.7172250034862095,0.5402370619851021,0.30395655245518166,0.7778055605591282
2010-04-07,0.46148191899524793,0.6016729196987399,0.21459894895777337,0.7081981901589522
2010-04-08,0.3538041638195515,0.3497918678617529,0.20174079372372752,0.5264498119997072
2010-04-09,0.55247916469872,1.0844616394742892,0.3769319364778688,1.0728723756306398
2010-04-10,0.41929583350751126,0.5399822399719397,0.2554454119454156,0.8734832380896328
2010-04-11,0.7960061261117687,0.8158208940706776,0.22898759812244818,0.9976034709819768
2010-04-12,0.6756202619559235,0.624698049798138,0.538909509066231,1.9508618999822978
2010-04-13,0.29960416019293995,0.32729128474239555,0.2142264927282103,0.5684547288023875
2010-04-14,0.5030499994251463,0.6371511444619159,0.27280455153565786,0.9496786357353262
2010-04-15,0.5130874982578887,0.4181063367670507,0.202777674472336,0.49603645802890844
2010-04-16,0.569716648709774,0.8972656661591168,0.31117840688768783,0.8204598055951944
2010-04-17,0.49932361189160085,0.577672831324031,0.2312419484853385,0.6903224241684199
